index,totalMovies,avgBudget,worldWide,num_one,preAdRevenue
PG-13,"3,639",49188919,280668421317,Avengers: Endgame,280619232398
R,"7,862",22135484,163305496587,Joker,163283361103
PG,"2,357",46151091,143695140866,The Lion King,143648989775
Not Rated,"9,671",4883402,33404874152,Zhan Lang 2,33399990750
G,520,40595152,28285796402,Toy Story 4,28245201250
NC-17,41,5950923,410631552,Se jie,404680629
GP,20,4000000,338898848,Diamonds Are Forever,334898848
M/PG,14,5818333,187831386,Patton,182013053
Open,6,2600000,22956447,You So Crazy,20356447
