index,totalMovies,avgBudget,worldWide,num_one,preAdRevenue
Contemporary Fiction,"18,782",23323115,266049317044,Furious 7,266025993929
Science Fiction,"1,840",54424527,86579198881,Avatar,86524774354
Kids Fiction,"1,627",64206940,83239951980,The Lion King,83175745040
Fantasy,"1,971",47448465,78349519972,Harry Potter and the Deathly Hallows:…,78302071507
Historical Fiction,"3,018",30343816,58903041355,Titanic,58872697539
Super Hero,236,126540991,50728897285,Avengers: Endgame,50602356294
Dramatization,"1,965",27715503,35620191991,Bohemian Rhapsody,35592476488
Factual,"5,649",3859653,6685066308,Zhongguo jizhang,6681206655
Multiple Creative Types,77,20296667,746205525,Feng Kuang De Wai Xing Ren,725908858
