primaryName,originalTitle,birthYear,deathYear,primaryProfession
Michael Nollet,Kingdom of Heaven,1974,0,director
Alejandro Hartmann,Clon,1973,0,director
Sergei Khrushchev,Freedom's Fury,1935,0,writer
Óscar Aizpeolea,El fuego y el soñador,1948,0,director
Óscar Aizpeolea,El fuego y el soñador,1948,0,writer
Gustavo Postiglione,La peli,1963,0,director
Gustavo Postiglione,La peli,1963,0,writer
Pepi Gonçalvez,La peli,1964,0,director
Robin Hardy,The Wicker Tree,1929,2016,writer
Robin Hardy,The Wicker Tree,1929,2016,director
Juan Villegas,Los suicidas,1971,0,director
Juan Villegas,Los suicidas,1971,0,writer
Tizuka Yamasaki,Gaijin - Ama-me Como Sou,1949,0,director
Tizuka Yamasaki,Gaijin - Ama-me Como Sou,1949,0,writer
Domingos Pellegrini Júnior,Gaijin - Ama-me Como Sou,1949,0,writer
Mike Pagano,"Jesus, Mary and Joey",1973,0,writer
Vincent Pagano,"Jesus, Mary and Joey",1967,0,writer
Christina Zorich,"Jesus, Mary and Joey",1965,0,director
Patrick Read Johnson,'77,1962,0,director
Pau Martínez,Bala perdida,1974,0,director
Pau Martínez,Bala perdida,1974,0,writer
Allen Wolf,In My Sleep,1970,0,director
Kirsten Vangsness,In My Sleep,1972,0,writer
Jade Tailor,In My Sleep,1985,0,writer
Jenny McCarthy,Dirty Love,1972,0,writer
Kathy Griffin,Dirty Love,1960,0,writer
Judith Benezra,Dirty Love,1976,0,director
John Asher,Dirty Love,1971,0,director
Joyce Bulifant,Dirty Love,1937,0,director
Steve Jocz,Dirty Love,1981,0,director
Michael Parness,My Suicidal Sweetheart,1963,0,writer
Willard Carroll,Marigold,1955,0,writer
Willard Carroll,Marigold,1955,0,director
Natalia Bronstein,Marigold,1978,0,director
Michael Fischa,Rice Girl,1952,0,director
Michael Fischa,Rice Girl,1952,0,writer
Stephen Chukumba,Intergalactic Combat,1970,0,writer
Christian Alvart,Antikörper,1974,0,director
Christian Alvart,Antikörper,1974,0,writer
Holger Franke,Antikörper,1942,0,writer
Stu Pollard,Keep Your Distance,1967,0,writer
Stu Pollard,Keep Your Distance,1967,0,director
Jessica Rothert,Keep Your Distance,1984,0,writer
Silvia Beck,The Trouble with Men and Women,1967,0,writer
Giancarlo Lui,A Documentary on the Making of 'Gore Vidal's Caligula',1930,0,director
Giancarlo Lui,A Documentary on the Making of 'Gore Vidal's Caligula',1930,0,writer
Tim McCann,Nowhere Man,1968,0,director
Tim McCann,Nowhere Man,1968,0,writer
Jack Kennedy,Nowhere Man,1984,0,director
Jack Kennedy,Nowhere Man,1984,0,writer
Nicholas Kendall,Goose on the Loose,1949,0,director
Afzal Huda,Goose on the Loose,1978,0,director
Katrina Holden Bronson,Daltry Calhoun,1968,0,director
Katrina Holden Bronson,Daltry Calhoun,1968,0,writer
Sophie Traub,Daltry Calhoun,1989,0,writer
Andrew Getty,The Evil Within,1967,2015,director
Andrew Getty,The Evil Within,1967,2015,writer
Kaarina Aufranc,Sweet Deadly Dreams,1974,0,writer
Matt E. Smith,Sweet Deadly Dreams,1979,0,director
Matthew Carey,Self Medicated,1980,0,writer
Magnus Fiennes,Unleashed,1965,0,writer
Christian Gazio,Unleashed,1954,0,director
Louis Leterrier,Unleashed,1973,0,director
Ming Beaver Kwei,Unleashed,1966,0,writer
Tamer Hassan,Unleashed,1968,0,writer
Georgina Chapman,Unleashed,1976,0,director
Bill Little,Unleashed,1954,0,writer
Daniel Karpantschof,Dear Wendy,1979,0,writer
Lars Johansson,Halva sanningen,1953,0,writer
Timothy Hutton,The Good Shepherd,1960,0,director
Gabriel Macht,The Good Shepherd,1972,0,director
John Sessions,The Good Shepherd,1953,0,writer
Jeff Skowron,The Good Shepherd,1978,0,writer
Glenn Kalison,The Good Shepherd,1972,0,director
Luis Garcia,The Good Shepherd,1976,0,writer
Michael Arden,The Good Shepherd,1982,0,director
Michael Arden,The Good Shepherd,1982,0,writer
Alex Barad,Open Window,1979,0,writer
Dante Basco,Blood and Bone,1975,0,writer
Dean Goodhill,Blood and Bone,1944,0,director
Michael Mailer,Blood and Bone,1964,0,director
Robert Wall,Blood and Bone,1939,0,writer
Michael Jai White,Blood and Bone,1967,0,writer
Louie Torrellas,Blood and Bone,1987,0,writer
Phillip Matarrese,Blood and Bone,1984,0,director
Matthew Irving,Waiting...,1971,0,writer
Jeff Balis,Waiting...,1975,0,director
Rob Benedict,Waiting...,1970,0,writer
John Francis Daley,Waiting...,1985,0,writer
John Francis Daley,Waiting...,1985,0,director
Skyler Stone,Waiting...,1979,0,writer
Rob McKittrick,Waiting...,1973,0,writer
Andy Milonakis,Waiting...,1976,0,writer
David S. Di Pietro,Waiting...,1981,0,writer
Mathew Waring,Waiting...,1979,0,director
Mathew Waring,Waiting...,1979,0,writer
Amanda Seales,Freedomland,1981,0,director
Amanda Seales,Freedomland,1981,0,writer
Najeh Davenport,Full Clip,1979,0,director
Robert Sidaway,Day of Wrath,1942,0,writer
Péter Fazakas,Day of Wrath,1967,0,director
Péter Fazakas,Day of Wrath,1967,0,writer
Anders Lund Madsen,Solopgang,1963,0,writer
Anders Lund Madsen,Solopgang,1963,0,director
Kjeld Friis,Solopgang,1973,0,director
Martin Munthe,Year One,1970,0,director
Cameron B. Alyasin,Year One,1975,0,director
Cameron B. Alyasin,Year One,1975,0,writer
Joe Restivo,Fighting Words,1952,2007,writer
Emma de Caunes,La science des rêves,1976,0,director
Emma de Caunes,La science des rêves,1976,0,writer
Jean-Louis Bompoint,La science des rêves,1960,0,director
Jean-Louis Bompoint,La science des rêves,1960,0,writer
Alain Chabat,La science des rêves,1958,0,writer
Michel Gondry,La science des rêves,1963,0,director
Michel Gondry,La science des rêves,1963,0,writer
Cyril Merle,La science des rêves,1981,0,director
Peter Stormare,The Brothers Grimm,1953,0,writer
Tony Grisoni,The Brothers Grimm,1952,0,writer
Tony Grisoni,The Brothers Grimm,1952,0,director
Tomás Hanák,The Brothers Grimm,1957,0,writer
Nicola Pecorini,The Brothers Grimm,1957,0,director
Michele Soavi,The Brothers Grimm,1957,0,director
Emily Greenwood,The Brothers Grimm,1975,0,director
Emily Greenwood,The Brothers Grimm,1975,0,writer
Anna Rust,The Brothers Grimm,1995,0,writer
Ritchie Blackmore,Lords of Dogtown,1945,0,writer
Gerald Casale,Lords of Dogtown,1948,0,director
Catherine Hardwicke,Lords of Dogtown,1955,0,director
Mitch Hedberg,Lords of Dogtown,1968,2005,writer
Chelsea Hobbs,Lords of Dogtown,1985,0,writer
Paulette Ivory,Lords of Dogtown,1976,0,writer
Stacy Peralta,Lords of Dogtown,1957,0,director
Stacy Peralta,Lords of Dogtown,1957,0,writer
Beanie Barnes,Lords of Dogtown,1978,0,director
Mike Ness,Lords of Dogtown,1962,0,writer
John Robinson,Lords of Dogtown,1985,0,writer
Benjamin Nurick,Lords of Dogtown,1977,0,director
Samantha Lockwood,Lords of Dogtown,1982,0,writer
Jason David McFadden,Lords of Dogtown,1979,0,director
Jason David McFadden,Lords of Dogtown,1979,0,writer
Diane Keaton,The Family Stone,1946,0,director
Jonathan Brown,The Family Stone,1970,0,director
Craig T. Nelson,The Family Stone,1944,0,director
Thomas Bezucha,The Family Stone,1964,0,writer
Thomas Bezucha,The Family Stone,1964,0,director
Brian White,The Family Stone,1975,0,writer
Cameron Frankley,Mr. & Mrs. Smith,1961,0,writer
Christopher Godfrey,Mr. & Mrs. Smith,1980,0,writer
Reid Paul,Mr. & Mrs. Smith,1959,0,director
Golan Ramraz,Mr. & Mrs. Smith,1976,0,writer
Rikki Rockett,Mr. & Mrs. Smith,1961,0,writer
Jordan Osher,Mr. & Mrs. Smith,1978,0,writer
Noah Dahl,Mr. & Mrs. Smith,1997,0,writer
Krassimir Ivanov,Mr. & Mrs. Smith,1970,0,director
Greg Mitchell,Mr. & Mrs. Smith,1962,0,director
Doug Maguire,Mr. & Mrs. Smith,1973,0,writer
Doug Maguire,Mr. & Mrs. Smith,1973,0,director
Chloe Finch,Mr. & Mrs. Smith,1975,0,writer
Chris Krauser,Mr. & Mrs. Smith,1977,0,writer
Rebecca Miller,The Ballad of Jack and Rose,1962,0,writer
Rebecca Miller,The Ballad of Jack and Rose,1962,0,director
Graham Waterston,The Ballad of Jack and Rose,1983,0,director
Graham Waterston,The Ballad of Jack and Rose,1983,0,writer
Christine Wagner,Silence Becomes You,1963,0,director
Dave Knapp,The Record Deal,1963,0,director
Dave Knapp,The Record Deal,1963,0,writer
Don Roos,Happy Endings,1955,0,writer
Don Roos,Happy Endings,1955,0,director
Kid Loco,Happy Endings,1964,0,writer
Til Schweiger,Inglourious Basterds,1963,0,director
Bo Svenson,Inglourious Basterds,1941,0,writer
Bo Svenson,Inglourious Basterds,1941,0,director
Michael Bacall,Inglourious Basterds,1973,0,writer
Gedeon Burkhard,Inglourious Basterds,1969,0,director
Gedeon Burkhard,Inglourious Basterds,1969,0,writer
August Diehl,Inglourious Basterds,1976,0,writer
Ken Duken,Inglourious Basterds,1979,0,director
Mélanie Laurent,Inglourious Basterds,1983,0,director
Mélanie Laurent,Inglourious Basterds,1983,0,writer
Eli Roth,Inglourious Basterds,1972,0,writer
Arndt Schwering-Sohnrey,Inglourious Basterds,1972,0,director
Christoph Waltz,Inglourious Basterds,1956,0,director
Martin Wuttke,Inglourious Basterds,1962,0,director
B.J. Novak,Inglourious Basterds,1979,0,writer
Paul Rust,Inglourious Basterds,1981,0,writer
Jacky Ido,Inglourious Basterds,1977,0,director
Jacky Ido,Inglourious Basterds,1977,0,writer
Alexander Fehling,Inglourious Basterds,1981,0,writer
Michael Kranz,Inglourious Basterds,1983,0,director
Michael Kranz,Inglourious Basterds,1983,0,writer
Claudina Hoff ter Heide,Inglourious Basterds,1969,0,writer
Miroslav Aleksic,Stvar srca,1952,0,director
Miroslav Aleksic,Stvar srca,1952,0,writer
Feti Dautovic,Stvar srca,1950,0,writer
Michael Stein,Love Hollywood Style,1967,0,director
Michael Stein,Love Hollywood Style,1967,0,writer
Dan Chase,Love Hollywood Style,1976,0,writer
Jamie Kennedy,Son of the Mask,1970,0,writer
Jae Woo Park,Son of the Mask,1973,0,writer
Sean Ellis,Son of the Mask,1971,0,writer
Jason Rosette,Susan Hero,1968,0,director
Julia Solomonoff,Hermanas,1968,0,director
Julia Solomonoff,Hermanas,1968,0,writer
Matthew Harrison,The Deep and Dreamless Sleep,1960,0,director
Matthew Harrison,The Deep and Dreamless Sleep,1960,0,writer
