primaryName,originalTitle,birthYear,deathYear,primaryProfession
Kevin Hicks,Behind the Door,1967,0,director
Richard Van Vleet,Ryan and Sean's Not So Excellent Adventure,1942,0,director
François Rotger,Story of Jen,1963,0,director
François Rotger,Story of Jen,1963,0,writer
Christopher Thornton,Sympathy for Delicious,1967,0,writer
John Augustine,"All Me, All the Time",1960,0,writer
Edward Bass,The Killing Jar,1956,0,director
M. Claxton Crawford,My Kingdom for a Kiss,1985,0,director
M. Claxton Crawford,My Kingdom for a Kiss,1985,0,writer
José María de Orbe,El brau blau,1958,0,director
José María de Orbe,El brau blau,1958,0,writer
Daniel V. Villamediana,El brau blau,1975,0,writer
Daniel V. Villamediana,El brau blau,1975,0,director
Philippe Grandrieux,Un lac,1954,0,director
Philippe Grandrieux,Un lac,1954,0,writer
Lukasz Barczyk,Nieruchomy poruszyciel,1974,0,director
Lukasz Barczyk,Nieruchomy poruszyciel,1974,0,writer
Jonas Grosch,Résiste - Aufstand der Praktikanten,1981,0,writer
Jonas Grosch,Résiste - Aufstand der Praktikanten,1981,0,director
Katja Ginnow,Résiste - Aufstand der Praktikanten,1989,0,director
Laura Artolachipi,Certifiable,1982,0,director
Laura Artolachipi,Certifiable,1982,0,writer
Colton Dunn,Hatchet II,1977,0,writer
Sarah Agor,Hatchet II,1985,0,writer
Dilip Mehta,The Forgotten Woman,1952,0,director
Joe Chow,Shi qi,1982,0,director
Dragan Djurkovic,Besa,1967,0,writer
Varja Mocnik,Besa,1974,0,director
Varja Mocnik,Besa,1974,0,writer
Ognjen Isailovic,Besa,1988,0,director
Ognjen Isailovic,Besa,1988,0,writer
Ole Bornedal,Fri os fra det onde,1959,0,writer
Ole Bornedal,Fri os fra det onde,1959,0,director
Bojan Navojec,Fri os fra det onde,1976,0,writer
Lene Nystrøm,Fri os fra det onde,1973,0,writer
Lasse Rimmer,Fri os fra det onde,1972,0,writer
Jacob Ottensten,Fri os fra det onde,1998,0,director
Mira Fornay,Little Foxes,1977,0,director
Mira Fornay,Little Foxes,1977,0,writer
Miroslav Momcilovic,"Cekaj me, ja sigurno necu doci",1969,0,writer
Miroslav Momcilovic,"Cekaj me, ja sigurno necu doci",1969,0,director
Kathy Grasso,Trinity,1979,0,director
Jaime Borgstrom,Trinity,1978,0,writer
Nic Wehrwein,Under 21,1982,0,writer
Jody Lee Lipes,Brock Enright: Good Times Will Never Be the Same,1982,0,director
Gabriel Pintilei,Elevator,1978,0,writer
George Dorobantu,Elevator,1974,0,director
Florencia Manovil,Fiona's Script,1980,0,director
Florencia Manovil,Fiona's Script,1980,0,writer
Conroe Brooks,Busted,1976,0,director
Evgeniy Gindilis,Gromozeka,1966,0,writer
Azharr Rudin,Punggok rindukan bulan,1981,0,director
Simon Phillips,The Last Seven,1980,0,writer
Nick Bigtower,The Last Seven,1977,0,director
Martyn Chalk,The Last Seven,1974,0,director
Kyung-taek Kwak,Sa-rang,1966,0,director
Kyung-taek Kwak,Sa-rang,1966,0,writer
Shaun Daley,Truly Blessed,1986,0,writer
Matt Thompson,Listen to Your Heart,1984,0,director
Courtney Sposato,Listen to Your Heart,1986,0,director
John-Michael Damato,Listen to Your Heart,1986,0,director
Alexander Karim,Dying of the Light,1976,0,writer
Seth Kozak,Dying of the Light,1972,0,director
Rade Markovic,Drug Crni u Narodnooslobodilackoj borbi,1965,0,writer
Rade Markovic,Drug Crni u Narodnooslobodilackoj borbi,1965,0,director
Lluís Miñarro,La mosquitera,1949,0,director
Lluís Miñarro,La mosquitera,1949,0,writer
Agustí Vila,La mosquitera,1961,0,director
Agustí Vila,La mosquitera,1961,0,writer
Michal Rosa,Rysa,1963,0,director
Michal Rosa,Rysa,1963,0,writer
Luc Picard,Babine,1961,0,director
Luc Picard,Babine,1961,0,writer
Imtiaz Ali,Love Aaj Kal,1971,0,writer
Imtiaz Ali,Love Aaj Kal,1971,0,director
Mauricio Baiocchi,Looper,1974,0,director
John T. Connor,Looper,1967,0,director
Rian Johnson,Looper,1973,0,director
Rian Johnson,Looper,1973,0,writer
Brooke Lehman,Looper,1981,0,director
Noah Segan,Looper,1983,0,director
Kelley Whitis,Looper,1972,0,director
Dominik Matwiejczyk,Rzeznia numer 1,1979,0,director
Dominik Matwiejczyk,Rzeznia numer 1,1979,0,writer
Joseph Kell,Summer Eleven,1960,0,director
Midori Utsumi,Dôsôkai,1943,0,writer
Tuomo Savolainen,Jungle of Dreams,1981,0,director
Bjørn Eivind Aarskog,Snarveien,1966,0,director
Morten Daae,Snarveien,1969,0,writer
Marte Germaine Christensen,Snarveien,1983,0,writer
Tat Whalley,Colin,1975,0,writer
Alistair James Powell,Colin,1981,0,director
Michael Stasko,Iodine,1980,0,director
Jean-Charles Fitoussi,Je ne suis pas morte,1970,0,director
Daniel Damian,Poker,1979,0,director
Juan Sebastian Valencia,Poker,1985,0,director
Juan Sebastian Valencia,Poker,1985,0,writer
Rosihan Zain,Sepi,1973,0,director
Rosihan Zain,Sepi,1973,0,writer
Dörte Franke,Stolperstein,1974,0,writer
Dörte Franke,Stolperstein,1974,0,director
Andrea Ufer,Stolperstein,1963,0,director
Meor Shariman,Apa Kata Hati,1970,2013,writer
Peter Singer,Examined Life,1946,0,writer
Astra Taylor,Examined Life,1979,0,director
Astra Taylor,Examined Life,1979,0,writer
Andrey Kuzichyov,Kaleydoskop,1970,0,director
Darian Caine,Warriors of the Apocalypse,1973,0,writer
Debbie D,Warriors of the Apocalypse,1972,0,director
Bill Burr,Date Night,1968,0,writer
Tina Fey,Date Night,1970,0,writer
Stacey Scowley,Date Night,1973,0,writer
Lauren Weedman,Date Night,1969,0,writer
Darren Le Gallo,Date Night,1974,0,director
J.B. Smoove,Date Night,1965,0,writer
John Chernin,Date Night,1983,0,writer
Jonathan Morgan Heit,Date Night,2000,0,director
Jonathan Morgan Heit,Date Night,2000,0,writer
Pierre M. Coleman,Date Night,1983,0,director
Igor Lebedev,Zakrytye prostranstva,1970,0,director
Benoit Pilon,Ce qu'il faut pour vivre,1962,0,director
Benoit Pilon,Ce qu'il faut pour vivre,1962,0,writer
Natar Ungalaaq,Ce qu'il faut pour vivre,1959,0,director
Miguel Alejandro Gomez,El cielo rojo,1982,0,director
Miguel Alejandro Gomez,El cielo rojo,1982,0,writer
Michael Simeoni,Men's Affair,1976,0,director
Lionel Baier,Un autre homme,1976,0,director
Lionel Baier,Un autre homme,1976,0,writer
Robin Harsch,Un autre homme,1977,0,director
Robin Harsch,Un autre homme,1977,0,writer
Naseeruddin Shah,A Wednesday,1950,0,director
Karim Dridi,Khamsa,1961,0,director
Karim Dridi,Khamsa,1961,0,writer
Leticia Giffoni,Última Parada 174,1976,0,director
Roberto Vitorino,Última Parada 174,1981,0,writer
Moniere,Dissonance,1974,0,writer
Moniere,Dissonance,1974,0,director
Jake Goldberger,Don McKay,1977,0,writer
Jake Goldberger,Don McKay,1977,0,director
Harley Harrison,Don McKay,1986,0,writer
Christian Klandt,Weltstadt,1978,0,director
Christian Klandt,Weltstadt,1978,0,writer
Rashid Masharawi,Eid milad Laila,1962,0,director
Rashid Masharawi,Eid milad Laila,1962,0,writer
Klaus Händl,März,1969,0,director
Klaus Händl,März,1969,0,writer
Edward C. Gillow,SEAL Team VI,1948,0,writer
Fred Armisen,Easy A,1966,0,writer
Andrew Fleming,Easy A,1965,0,director
Andrew Fleming,Easy A,1965,0,writer
Jim Jacobs,Easy A,1942,0,writer
Lalaine,Easy A,1987,0,writer
Jake Sandvig,Easy A,1986,0,writer
Douglas Slocum,Easy A,1973,0,director
Rawson Marshall Thurber,Easy A,1975,0,director
Rawson Marshall Thurber,Easy A,1975,0,writer
Bert V. Royal,Easy A,1977,0,writer
Bert V. Royal,Easy A,1977,0,director
Morgan Waters,Easy A,1981,0,writer
Kristin Quick,Easy A,1989,0,director
Kristin Quick,Easy A,1989,0,writer
Max Crumm,Easy A,1986,0,writer
Max Crumm,Easy A,1986,0,director
Jameson Moss,Easy A,1991,0,writer
Flo Rida,Easy A,1979,0,writer
Masayuki Imai,The Winds of God: Kamikaze,1961,2015,writer
Masayuki Imai,The Winds of God: Kamikaze,1961,2015,director
Ahmed Helmy,Aasef ala el-iz'ag,1969,0,writer
Khaled Zaki,El-shayatin: El-Awdah,1950,0,director
Przemyslaw Nowakowski,Boisko bezdomnych,1970,0,writer
Przemyslaw Nowakowski,Boisko bezdomnych,1970,0,director
Jacek Petrycki,Boisko bezdomnych,1948,0,director
Jackson Waite,Burning Palms,1981,0,director
Chandler George Brown,Burning Palms,1996,0,director
Chandler George Brown,Burning Palms,1996,0,writer
Giovanna Federico,Herpes Boy,1981,0,director
Amber Plaster,Morbid: A Love Story,1987,0,writer
Joshua Rieder,Morbid: A Love Story,1987,0,writer
Cameron Scott,"Post Mortem, America 2021",1976,0,writer
Aitor Gaizka,The Symmetry of Love,1977,0,director
Aitor Gaizka,The Symmetry of Love,1977,0,writer
Sam Greenlee,Earthwork,1930,2014,writer
Chris Ordal,Earthwork,1981,0,director
Chris Ordal,Earthwork,1981,0,writer
Lisa Marie Evans,Earthwork,1977,0,director
John Flores,The Tale of a Suicidal Narcoleptic,1982,0,writer
John Flores,The Tale of a Suicidal Narcoleptic,1982,0,director
Bohdan Sláma,Venkovský ucitel,1967,0,director
Bohdan Sláma,Venkovský ucitel,1967,0,writer
Dennis Ledergerber,Zufallbringen,1987,0,director
Dennis Ledergerber,Zufallbringen,1987,0,writer
Haile Gerima,Teza,1946,0,director
Haile Gerima,Teza,1946,0,writer
John-Michael Thomas,Corpse Run,1978,0,director
Eitan Green,Hakol Mat'hil Bayam,1951,0,director
Eitan Green,Hakol Mat'hil Bayam,1951,0,writer
Matthias Brandt,Die zweite Frau,1961,0,writer
Hans Steinbichler,Die zweite Frau,1966,0,director
Hans Steinbichler,Die zweite Frau,1966,0,writer
Robert Seethaler,Die zweite Frau,1968,0,writer
Bill McKibben,Blind Spot,1960,0,director
Richard Friend,Ghosts Don't Exist,1972,0,writer
Birger Larsen,Superbror,1961,2016,director
Birger Larsen,Superbror,1961,2016,writer
Raymond Pozo,Cristiano de la secreta,1969,0,writer
Bianca Brigitte VanDamme,Full Love,1990,0,writer
Ricardo Trogi,1981,1971,0,director
Ricardo Trogi,1981,1971,0,writer
Ben Hopkins,Pazar - Bir Ticaret Masali,1969,0,director
Ben Hopkins,Pazar - Bir Ticaret Masali,1969,0,writer
Hubert Gotkowski,Manna,1981,0,director
Hubert Gotkowski,Manna,1981,0,writer
Marcin Kabaj,Manna,1981,0,writer
Rick Porrello,Danny Greene: The Rise and Fall of the Irishman,1962,0,writer
Ashley Jacoby,Weakness,1991,0,director
Brooke Jacoby,Weakness,1991,0,director
Brooke Jacoby,Weakness,1991,0,writer
Jean-Paul Lilienfeld,La journée de la jupe,1962,0,writer
Jean-Paul Lilienfeld,La journée de la jupe,1962,0,director
Ounie Lecomte,Yeo-haeng-ja,1966,0,director
Ounie Lecomte,Yeo-haeng-ja,1966,0,writer
Dan Lashley,Rose Colored Miles,1977,0,writer
Kristen Dowd,Rose Colored Miles,1986,0,director
Kristen Dowd,Rose Colored Miles,1986,0,writer
Jörg Reichlin,Bruchstein,1949,0,director
Jörg Reichlin,Bruchstein,1949,0,writer
Züli Aladag,Die Fremde,1968,0,director
Züli Aladag,Die Fremde,1968,0,writer
Judith Kaufmann,Die Fremde,1962,0,writer
Feo Aladag,Die Fremde,1972,0,writer
Feo Aladag,Die Fremde,1972,0,director
Matty Boy Anderson,John's Arm: Armageddon,1972,0,director
Matty Boy Anderson,John's Arm: Armageddon,1972,0,writer
Jon Racinskas,The Name of God,1978,0,writer
Jon Racinskas,The Name of God,1978,0,director
Liliya Czarina,Where's Tuesday Monday?,1974,0,director
Liliya Czarina,Where's Tuesday Monday?,1974,0,writer
Angie Kai,Where's Tuesday Monday?,1981,0,writer
Sachi Hamano,Hentai shindorômu: Waisetsu hakuchûmu,1948,0,director
Sachi Hamano,Hentai shindorômu: Waisetsu hakuchûmu,1948,0,writer
Corey Miller,Left for Dead,1976,0,director
Josh Etter,Left for Dead,1992,0,director
Barbara Cerar,Pokrajina St.2,1971,0,writer
Dusan Joksimovic,Pokrajina St.2,1963,0,director
Steve Kroschel,The Beautiful Truth,1961,0,director
Steve Kroschel,The Beautiful Truth,1961,0,writer
John Ennis,Free for All!,1973,0,director
Vladimir Paskaljevic,Djavolja varos,1974,0,writer
Vladimir Paskaljevic,Djavolja varos,1974,0,director
Sean Walsh,Entre Lençóis,1970,0,director
Sean Walsh,Entre Lençóis,1970,0,writer
Catharina Schreckenberg,Entre Lençóis,1984,0,director
Henrik Sjöman,På djupet,1984,0,director
Ray Soltani,The Capitalist,1984,0,director
Ray Soltani,The Capitalist,1984,0,writer
Adam Weissman,The Capitalist,1982,0,writer
Charlie Creed-Miles,Harry Brown,1972,0,writer
Charlie Creed-Miles,Harry Brown,1972,0,director
Joseph Gilgun,Harry Brown,1984,0,writer
Sean Harris,Harry Brown,1966,0,writer
Plan B,Harry Brown,1983,0,writer
Claire Buxton,Unarmed But Dangerous,1984,0,director
Dennis Santucci,Unarmed But Dangerous,1975,0,writer
Mark Stirton,One Day Removals,1970,0,director
Mark Stirton,One Day Removals,1970,0,writer
Megan Brown,The Steam Experiment,1976,0,writer
Eve Mauro,The Steam Experiment,1981,0,writer
Carrie Drazek,The Steam Experiment,1965,0,writer
Ya-che Yang,Jiong nan hai,1971,0,director
Ya-che Yang,Jiong nan hai,1971,0,writer
Brandon Cahoon,Parade,1978,0,director
Brandon Cahoon,Parade,1978,0,writer
Todd Fossey,The Stevie Wondershow,1970,0,director
Matthew Ross,Frank & Lola,1976,0,writer
Matthew Ross,Frank & Lola,1976,0,director
Carlos Moreno Jr.,Frank & Lola,1971,0,director
Amy Argyle,Frank & Lola,1979,0,director
Monroe Robertson,Frank & Lola,1984,0,director
Yigal Bursztyn,Etsba Elohim,1941,0,director
Yigal Bursztyn,Etsba Elohim,1941,0,writer
Rie Rasmussen,Human Zoo,1976,0,director
Rie Rasmussen,Human Zoo,1976,0,writer
Anne Gyrithe Bonne,Kunsten og de utilpassede,1951,0,director
Anne Gyrithe Bonne,Kunsten og de utilpassede,1951,0,writer
Tomasz Dobrowolski,Mala Moskwa,1960,0,director
Waldemar Krzystek,Mala Moskwa,1953,0,director
Waldemar Krzystek,Mala Moskwa,1953,0,writer
Arvin Chen,Yi ye Taibei,1978,0,director
Arvin Chen,Yi ye Taibei,1978,0,writer
Diana Cosma,Rules,1984,0,writer
Werner Boote,Plastic Planet,1965,0,director
Werner Boote,Plastic Planet,1965,0,writer
Hannah Crossley,The Ride of Tom & Valkyrie,1986,0,director
Tom Reeve,Holy Water,1962,0,writer
Erick Gosse,Mia's Father,1970,0,writer
Scott Muller,Mia's Father,1961,0,writer
Michael Gamarano Singleton,The Last Days of Edgar Harding,1987,0,director
Nigel Sheppard,Childhood,1981,0,writer
Juan-Carlos Duran,Banda Girls in Who's Your Sugar Daddy,1965,0,writer
Sarah Schnier,Barfuß bis zum Hals,1967,0,writer
Hansjörg Thurn,Barfuß bis zum Hals,1960,0,director
Hansjörg Thurn,Barfuß bis zum Hals,1960,0,writer
Shahriyar Latifzadeh,Kärlek 3000,1979,0,writer
Shahriyar Latifzadeh,Kärlek 3000,1979,0,director
Massy Tadjedin,Last Night,1976,0,writer
Massy Tadjedin,Last Night,1976,0,director
Bat for Lashes,Last Night,1979,0,director
David M. Edwards,Sprawling from Grace,1963,0,director
David M. Edwards,Sprawling from Grace,1963,0,writer
Erik Kristopher Myers,Roulette,1976,0,writer
Will Haza,Roulette,1982,0,writer
Corey Williams,Roulette,1978,0,writer
Jacob Tierney,The Trotsky,1979,0,director
Jacob Tierney,The Trotsky,1979,0,writer
Kaniehtiio Horn,The Trotsky,1986,0,director
Kaniehtiio Horn,The Trotsky,1986,0,writer
Dmitry Barshevsky,Tyazhelyy pesok,1945,0,director
Dmitry Barshevsky,Tyazhelyy pesok,1945,0,writer
Josh Koffman,The Jazzman,1982,0,director
Josh Koffman,The Jazzman,1982,0,writer
Navid Navid,Ein Augenblick Freiheit,1980,0,director
Arash T. Riahi,Ein Augenblick Freiheit,1972,0,writer
Arash T. Riahi,Ein Augenblick Freiheit,1972,0,director
Ursula Brooks,Happy in the Valley,1974,0,writer
Josh Marchette,Happy in the Valley,1969,0,director
Josh Marchette,Happy in the Valley,1969,0,writer
John M. Heller,Overnight,1946,2017,director
Judd Fish,Overnight,1983,0,writer
James Keach,Waiting for Forever,1947,0,director
Tom Sturridge,Waiting for Forever,1985,0,director
Pierre Léon,L'idiot,1959,0,director
Pierre Léon,L'idiot,1959,0,writer
Martial Salomon,L'idiot,1977,0,director
Vyacheslav Ross,Tupoy zhirnyy zayats,1966,0,director
Vyacheslav Ross,Tupoy zhirnyy zayats,1966,0,writer
Karla Jean Davis,Golgotha,1981,0,director
Karla Jean Davis,Golgotha,1981,0,writer
Michael Michalski,Golgotha,1979,0,writer
Larry Brand,Christina,1949,2019,writer
Larry Brand,Christina,1949,2019,director
Mary Sweeney,Baraboo,1953,0,writer
Marian Belgray,Salesgirl,1973,0,writer
Alexander Adolph,So glücklich war ich noch nie,1965,0,writer
Alexander Adolph,So glücklich war ich noch nie,1965,0,director
Wolfgang Fischer,Was du nicht siehst,1970,0,director
Wolfgang Fischer,Was du nicht siehst,1970,0,writer
Mike Kramer,Beijing Punk,1973,0,writer
Jay Woelfel,Closed for the Season,1962,0,director
J.R. Dziengel,Pre,1970,0,director
J.R. Dziengel,Pre,1970,0,writer
Steve Fix,Road of No Return,1958,0,writer
Michael W. Driesch,Die Eylandt Recherche,1963,0,director
Michael W. Driesch,Die Eylandt Recherche,1963,0,writer
Giacomo Durzi,Numero uno in lista,1976,0,writer
Giacomo Durzi,Numero uno in lista,1976,0,director
Franny Armstrong,The Age of Stupid,1973,0,director
Steven Purba,Kita punya bendera,1980,0,writer
Steven Purba,Kita punya bendera,1980,0,director
Silvia Zeitlinger Vas,Mikado,1964,0,writer
Guy Lee Thys,Mixed Kebab,1952,0,writer
Guy Lee Thys,Mixed Kebab,1952,0,director
Peter David Parasiliti,A Foundling,1974,0,writer
Blake Alexander,The Whole Truth,1987,0,writer
Simone van Dusseldorp,Kikkerdril,1967,0,director
Simone van Dusseldorp,Kikkerdril,1967,0,writer
Minoru Inao,Hentai kazoku niiduma inran zeme,1943,0,director
Minoru Inao,Hentai kazoku niiduma inran zeme,1943,0,writer
William Bemister,Admissible Evidence,1948,2008,writer
William Bemister,Admissible Evidence,1948,2008,director
Mikala Krogh,Alt er relativt,1973,0,director
Mikala Krogh,Alt er relativt,1973,0,writer
S.J. Creazzo,The Ascent,1969,0,writer
S.J. Creazzo,The Ascent,1969,0,director
Zoltán Czigány,Ecseri tekercsek,1965,2011,director
Zoltán Czigány,Ecseri tekercsek,1965,2011,writer
Aaron Henry,Juviez: Boyz Vs. Girlz,1972,0,director
Sasha Andreev,Phasma Ex Machina,1981,0,writer
Max Hauser,Phasma Ex Machina,1994,0,director
Max Hauser,Phasma Ex Machina,1994,0,writer
Matt Osterman,Phasma Ex Machina,1978,0,director
Matt Osterman,Phasma Ex Machina,1978,0,writer
David Greene,Defendor,1968,0,director
Peter Stebbings,Defendor,1971,0,director
Peter Stebbings,Defendor,1971,0,writer
Leah Jaunzems,Defendor,1971,0,director
Christopher Warre Smets,Defendor,1972,0,director
Christopher Warre Smets,Defendor,1972,0,writer
Pia Tikka,Obsessio,1961,0,director
Christophe Lamot,"Silence, ça tue!",1979,0,director
Christophe Lamot,"Silence, ça tue!",1979,0,writer
Jay Mackenzie Roach,The Devil's Gravestone,1977,0,director
D.A. Hänks,The Story of Respect,1968,0,director
Averett Hunter,The Story of Respect,1978,0,writer
Gary Ray Moore,The Bill Collector,1961,0,director
Gary Ray Moore,The Bill Collector,1961,0,writer
Marta Mondelli,The Contenders,1980,0,director
Marta Mondelli,The Contenders,1980,0,writer
Ji-woo Jung,Modeon boi,1968,0,director
Ji-woo Jung,Modeon boi,1968,0,writer
Steve Skrovan,Fred & Vinnie,1957,0,writer
Fred Stoller,Fred & Vinnie,1965,0,writer
Michael Patrick Breen,Fred & Vinnie,1961,0,director
Michael Patrick Breen,Fred & Vinnie,1961,0,writer
Matthew Montgomery,Make the Yuletide Gay,1978,0,writer
Mitsuhiro Mihara,Shiawase no kaori,1964,0,director
Mitsuhiro Mihara,Shiawase no kaori,1964,0,writer
Lejla Panjeta,Ostavljeni,1977,0,director
Lejla Panjeta,Ostavljeni,1977,0,writer
Zlatko Topcic,Ostavljeni,1955,0,writer
Zlatko Topcic,Ostavljeni,1955,0,director
Zdenek Tyc,El Paso,1956,0,director
Zdenek Tyc,El Paso,1956,0,writer
Leonardo Val,José Ignacio,1983,0,director
Mark Lee,Qian bu gou yong 2,1968,0,director
Meng Lai,Qian bu gou yong 2,1928,2018,writer
Peter Kelamis,50/50,1967,0,writer
Peter Kelamis,50/50,1967,0,director
Terry Stacey,50/50,1962,0,director
Lauren Miller Rogen,50/50,1982,0,writer
Adolf Zika,"Jan Saudek - V pekle svých vásní, ráj v nedohlednu",1972,0,writer
Adolf Zika,"Jan Saudek - V pekle svých vásní, ráj v nedohlednu",1972,0,director
Robert Conway,Redemption: A Mile from Hell,1979,0,writer
Robert Conway,Redemption: A Mile from Hell,1979,0,director
Patton Oswalt,Seeking a Friend for the End of the World,1969,0,writer
David Palmieri,Seeking a Friend for the End of the World,1972,0,director
Nancy Carell,Seeking a Friend for the End of the World,1966,0,writer
Rob Huebel,Seeking a Friend for the End of the World,1969,0,writer
Babydaddy,Seeking a Friend for the End of the World,1976,0,writer
Brad Morris,Seeking a Friend for the End of the World,1975,0,writer
Bobby Collins,Seeking a Friend for the End of the World,1975,0,director
Bobby Collins,Seeking a Friend for the End of the World,1975,0,writer
Joshua Grannell,All About Evil,1974,0,writer
Joshua Grannell,All About Evil,1974,0,director
Thomas Acda,All Stars 2: Old Stars,1967,0,writer
Mischa Alexander,All Stars 2: Old Stars,1962,0,writer
Mischa Alexander,All Stars 2: Old Stars,1962,0,director
Jean van de Velde,All Stars 2: Old Stars,1957,0,writer
Jean van de Velde,All Stars 2: Old Stars,1957,0,director
Jeff Madsen,The Cost of Living,1957,0,writer
Greg Chapman,Frontman,1985,0,director
Greg Chapman,Frontman,1985,0,writer
Jordan Treml,Go for It!,1989,0,director
Erwin Wagenhofer,Let's Make Money,1961,0,director
Erwin Wagenhofer,Let's Make Money,1961,0,writer
Corinna Milborn,Let's Make Money,1972,0,writer
Marcel Jones,Machete Joe,1973,0,writer
Venkat Prabhu,Saroja,1975,0,writer
Venkat Prabhu,Saroja,1975,0,director
Jo Sol,Fake Orgasm,1968,0,director
Jo Sol,Fake Orgasm,1968,0,writer
Raya Martin,Next Attraction,1984,0,director
Raya Martin,Next Attraction,1984,0,writer
Mark Shady,Dark Woods,1973,0,director
Jon Pivko,Dark Woods,1984,0,director
David Michael Katz,Kissing Strangers,1969,0,director
Matthew Smiley,Kissing Strangers,1981,0,director
Camille Natta,Kissing Strangers,1977,0,writer
Amanda Thorp,Kissing Strangers,1991,0,director
Amanda Thorp,Kissing Strangers,1991,0,writer
Lucas Astrom,Kissing Strangers,1988,0,writer
Cassie Fliegel,Kissing Strangers,1984,0,director
James Brown,Kissing Strangers,1970,0,director
Gina Scoles,Kissing Strangers,1988,0,writer
Jay Montepare,Kissing Strangers,1978,0,writer
Christopher Lee Ball,Lovelorn,1976,0,director
Phillip James,Lovelorn,1981,0,director
Phillip James,Lovelorn,1981,0,writer
Mizuho Nishikubo,Miyamoto Musashi: Sôken ni haseru yume,1953,0,director
Mizuho Nishikubo,Miyamoto Musashi: Sôken ni haseru yume,1953,0,writer
Norbert Baumgarten,Mensch Kotschie,1973,0,writer
Norbert Baumgarten,Mensch Kotschie,1973,0,director
Steffen Mensching,Mensch Kotschie,1958,0,writer
Byambasuren Davaa,Das Lied von den zwei Pferden,1971,0,director
Byambasuren Davaa,Das Lied von den zwei Pferden,1971,0,writer
Svetoslav Ovtcharov,"Edinstvenata lyubovna istoriya, koyato Hemingway ne opisa",1957,0,writer
Svetoslav Ovtcharov,"Edinstvenata lyubovna istoriya, koyato Hemingway ne opisa",1957,0,director
Ivan Vladimirov,"Edinstvenata lyubovna istoriya, koyato Hemingway ne opisa",1976,0,director
Rob Kohler,Without Borders,1988,0,director
Rob Kohler,Without Borders,1988,0,writer
Sturla Gunnarsson,Air India 182,1951,0,director
Sturla Gunnarsson,Air India 182,1951,0,writer
Maria Blom,Fishy,1971,0,director
Maria Blom,Fishy,1971,0,writer
John C. Lyons,Schism,1977,0,director
Przemyslaw Wojcieszek,Made in Poland,1974,0,writer
Przemyslaw Wojcieszek,Made in Poland,1974,0,director
Dayton Callie,Halloween II,1946,0,writer
Danielle Harris,Halloween II,1977,0,director
Tyler Mane,Halloween II,1966,0,writer
Duane Whitaker,Halloween II,1959,0,writer
Marie Barnas,Halloween II,1976,0,writer
Miriam Dehne,Little Paris,1968,0,director
Miriam Dehne,Little Paris,1968,0,writer
Andreas Genschmar,Little Paris,1974,0,writer
Wesley Chambers,Nadine,1982,0,director
Michael De'Sioye,Nadine,1979,0,director
Randal Malone,Rat Scratch Fever,1959,0,writer
Justin Warren Downing,Rat Scratch Fever,1982,0,writer
Avigail Sperber,Halakeh,1973,0,director
Marat Parkhomovsky,Halakeh,1980,0,director
Marat Parkhomovsky,Halakeh,1980,0,writer
Robert Baer,Car Bomb,1952,0,writer
David Baltimore,House of Numbers: Anatomy of an Epidemic,1938,0,writer
Brent Leung,House of Numbers: Anatomy of an Epidemic,1980,0,director
Liam Scheff,House of Numbers: Anatomy of an Epidemic,1971,2017,writer
Andi Niessner,Achternbusch,1967,0,director
Andi Niessner,Achternbusch,1967,0,writer
Robert Wellié,Status: Geduldet,1976,0,director
Robert Wellié,Status: Geduldet,1976,0,writer
Helena Solberg,Palavra (en)cantada,1942,0,director
Richard Jordan,4000 euros,1965,0,director
Richard Jordan,4000 euros,1965,0,writer
Rick Rose,Addicted State,1978,0,writer
Rick Rose,Addicted State,1978,0,director
Mareike Wegener,The Matchstick Traveller,1983,0,writer
Marc Ottiker,Wir haben die Musik - Unterwegs mit Tom Liwa,1967,0,writer
Marc Ottiker,Wir haben die Musik - Unterwegs mit Tom Liwa,1967,0,director
Kieran Darcy-Smith,Animal Kingdom,1965,0,director
Kieran Darcy-Smith,Animal Kingdom,1965,0,writer
Anthony Hayes,Animal Kingdom,1977,0,writer
Justin Rosniak,Animal Kingdom,1977,0,director
Jun Ichikawa,Sûtsu wo kau,1948,2008,director
Jun Ichikawa,Sûtsu wo kau,1948,2008,writer
Louie Psihoyos,The Cove,1957,0,director
Rafael Piñero,El desconocido,1972,0,director
Rafael Piñero,El desconocido,1972,0,writer
Hossein Jafarian,Divar,1944,0,writer
Ebrahim Hatamikia,Be name pedar,1961,0,writer
Ebrahim Hatamikia,Be name pedar,1961,0,director
Hongqi Li,Huangjin zhou,1976,0,director
Hongqi Li,Huangjin zhou,1976,0,writer
James Felix McKenney,Hypothermia,1968,0,director
James Felix McKenney,Hypothermia,1968,0,writer
Julio Ponce Palmieri,Rabid Rage,1974,0,writer
Julio Ponce Palmieri,Rabid Rage,1974,0,director
Eric Mendelsohn,3 Backyards,1964,0,writer
Morgan Faust,3 Backyards,1978,0,writer
Morgan Faust,3 Backyards,1978,0,director
Bogdan George Apetri,3 Backyards,1976,0,director
Selim Evci,Iki Çizgi,1975,0,director
Selim Evci,Iki Çizgi,1975,0,writer
Marc Lawrence,Did You Hear About the Morgans?,1959,0,writer
Sara Woodhatch,Did You Hear About the Morgans?,1973,0,director
Nathan Christoffel,Eraser Children,1982,0,director
Nathan Christoffel,Eraser Children,1982,0,writer
