index,totalMovies,avgBudget,worldWide,num_one,preAdRevenue
Live Action,"35,673",27854827,505802448515,Titanic,505774593688
Animation/Live Action,273,123885366,85705890869,Avengers: Endgame,85582005503
Digital Animation,"1,453",80196026,67872330983,Frozen II,67792134957
Hand Animation,432,32478029,11474382075,The Lion King,11441904046
Stop-Motion Animation,51,40142857,1583351604,Chicken Run,1543208747
Multiple Production Methods,76,9450000,915220840,Feng Kuang De Wai Xing Ren,905770840
Rotoscoping,10,14650000,105770881,Tonde Saitama,91120881
